鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
西區,房地(土地+建物),臺中市西區南屯路一段１５２之１０號２樓,16.26,都市：其他:第二種住宅區,,,1100915,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851101,124.7,2,2,1,有,有,6800000,54531,,0.0,0,,RPSOMLPKRHGGFAB97DA,79.45,8.66,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區正氣街４７號二樓之３,14.59,都市：其他:第二種商業區,,,1100919,土地3建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1040413,103.99,2,2,1,有,有,7800000,73365,坡道機械,9.94,900000,,RPQOMLTKRHGGFAB18DA,53.7,7.78,0.0,有,
南區,房地(土地+建物),臺中市南區平順街２１０號三樓,27.75,都市：其他:第二種住宅區,,,1100922,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811125,240.42000000000002,3,1,3,有,有,10200000,42426,,0.0,0,,RPWPMLMLRHGGFAB28DA,146.69,13.8,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區忠明南路１１８號十一樓之八,21.85,都市：其他:第三種住宅區。,,,1101003,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951222,238.29000000000002,4,2,2,有,有,22000000,99544,坡道平面,47.42,3000000,,RPRNMLNJIIGGFAB66DA,130.38,7.73,0.0,有,
西區,房地(土地+建物),臺中市西區忠明南路１２巷２號五樓,37.2,都市：其他:第二種商業區,,,1101007,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700107,66.76,3,2,1,有,無,5500000,82385,,0.0,0,,RPTOMLRJIIGGFAB37DA,66.76,0.0,0.0,無,0001
西區,房地(土地+建物)+車位,臺中市西區模範街３５號４樓之４,9.98,都市：其他:第二種住宅區,,,1101002,土地1建物2車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820817,82.30000000000001,1,1,1,有,有,5000000,60753,升降機械,0.0,0,,RPQNMLTJIIGGFAB17DA,46.56,0.0,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區向上南路一段１６６號９樓之２,20.75,都市：其他:第二種住宅區,,,1100823,土地1建物1車位1,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881020,204.14999999999998,4,2,2,有,有,13350000,65393,坡道平面,0.0,0,,RPSPMLMKIIGGFAB96DA,112.6,16.66,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區華美西街一段１７５號１３樓之７,20.46,都市：其他:第二種住宅區,,,1101001,土地2建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860723,197.18,3,2,1,有,有,15100000,76584,坡道平面,0.0,0,,RPWPMLOKIIGGFAB57DA,113.56,12.78,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區工學一街１７７號６樓之１,13.56,都市：其他:第三種住宅區。,,,1100925,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,105.08000000000001,2,2,1,有,有,6600000,62809,坡道平面,25.04,0,夾層；,RPTOMLPKIIGGFAB27DA,58.33,4.48,0.0,有,0002
西區,房地(土地+建物)+車位,臺中市西區三民路１段３６號１５樓之１１,8.02,都市：其他:第二種住宅區,,,1101007,土地2建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,97.41,3,2,1,有,無,5200000,53383,坡道機械,0.0,0,,RPXNMLSKIIGGFAB87DA,57.03,4.32,0.0,有,
中區,房地(土地+建物),臺中市中區繼光街３９號３樓－１,53.68,都市：其他:第一種商業區,,,1100929,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670529,308.75,12,0,12,有,有,15650000,50688,,0.0,0,,RPRQMLKLIIGGFAB86DA,308.75,0.0,0.0,有,0003
南區,房地(土地+建物)+車位,臺中市南區忠明南路７９３之２號九樓,13.77,都市：其他:第三種住宅區。,,,1101022,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951218,157.21,3,2,2,有,有,13630000,86699,坡道平面,27.63,0,陽台外推；,RPSOMLPLIIGGFAB27DA,82.79,12.63,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區文心南十路２１１號三十樓之三,5.81,都市：其他:第三種住宅區。,,,1101002,土地1建物1車位1,三十層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950622,130.63,3,2,2,有,有,8380000,59902,坡道機械,4.09,800000,陽台外推；含租約；,RPPQMLQLIIGGFAB27DA,74.73,18.39,0.0,有,
東區,房地(土地+建物),臺中市東區旱溪東路一段３００號四樓之七,9.99,都市：其他:第二種商業區,,,1101008,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950801,95.85,2,2,1,有,有,6520000,68023,,0.0,0,陽台外推；其他增建；,RPWQMLRLIIGGFAB08DA,55.02,10.56,0.0,有,
東區,房地(土地+建物),臺中市東區進化路２３７號１４樓之２,21.0,都市：其他:第二種住宅區,,,1100926,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880519,162.09,3,2,2,有,有,8580000,52934,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVOMLLJJIGGFAB07DA,96.23,11.91,0.0,有,
西區,房地(土地+建物),臺中市西區中美街４１巷５號,103.0,都市：其他:第二種住宅區,,,1101006,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040212,213.76,4,2,5,有,無,34000000,159057,,0.0,0,其他增建；,RPPOMLNJJIGGFAB66DA,202.16,11.6,0.0,無,
西區,房地(土地+建物),臺中市西區三民路一段５０巷８號１１樓之１８,3.44,都市：其他:第二種住宅區,,,1101005,土地2建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,34.18,1,0,1,有,有,1800000,52662,,0.0,0,,RPQNMLOJJIGGFAB76DA,19.41,1.93,0.0,有,0004
東區,房地(土地+建物),臺中市東區旱溪街１９巷８之３號,194.0,都市：其他:第二種住宅區,,,1100922,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1051012,525.97,7,2,7,有,無,37300000,70917,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPPOMLOJJIGGFAB76DA,461.14,64.83,0.0,無,
南區,房地(土地+建物),臺中市南區美和街１０８號,26.95,都市：其他:第二種住宅區,,,1101006,土地1建物1車位0,一層，二層，騎樓,十三層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840117,187.17,2,3,1,有,有,9100000,48619,,0.0,0,夾層；,RPWNMLSJJIGGFAB77DA,117.91,10.48,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區自立街９１號,13.25,都市：其他:第二種住宅區,,,1101010,土地1建物1車位2,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0881025,114.36,0,1,1,有,有,8000000,69948,坡道平面,49.21,0,,RPXNMLSJJIGGFAB87DA,48.12,2.79,0.0,有,
東區,房地(土地+建物)+車位,臺中市東區一心街２４７號十樓之二,17.14,都市：其他:第二之一種商業區,,,1100804,土地1建物1車位2,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020205,172.35,3,2,2,有,有,12720000,73803,坡道平面,67.96,0,,RPPOMLSJJIGGFAB17DA,66.75,5.5,0.0,有,
東區,土地,東勢子段3-176地號,64.67,都市：其他:道路用地,,,1101018,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3951219,61098,,0.0,0,包含公共設施保留地用地；,RPTOMLSJJIGGFAB57DA,0.0,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺中市東區東南街６８號５樓之２,36.32,都市：其他:第二種住宅區,,,1101012,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790607,206.19,4,2,2,有,有,11600000,56259,坡道平面,0.0,0,,RPUOMLSJJIGGFAB67DA,126.29,18.73,0.0,有,
中區,建物,臺中市中區成功路５５號九樓之７,0.0,,,,1101004,土地0建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0791128,55.510000000000005,1,1,1,有,有,1000000,18015,,0.0,0,,RPWOMLSJJIGGFAB87DA,39.17,0.0,0.0,有,
西區,房地(土地+建物),臺中市西區福人街１３６號四樓之１,36.75,都市：其他:第三種住宅區。,,,1100927,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,ＲＣ造,0670812,41.29,1,1,1,有,無,1900000,46016,,0.0,0,,RPRNMLSJJIGGFAB27DA,41.29,0.0,0.0,無,
西區,房地(土地+建物),臺中市西區福人街１３６號四樓之２,36.75,都市：其他:第三種住宅區。,,,1100927,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,ＲＣ造,0670812,46.92,1,1,1,有,無,2300000,49020,,0.0,0,,SPRNMLSJJIGGFAB37DA,46.92,0.0,0.0,無,
東區,房地(土地+建物),臺中市東區精武路１５７號５樓之１,32.32,都市：其他:第五種住宅區,,,1101005,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0790828,189.48999999999998,1,0,2,有,有,7770000,41005,,0.0,0,,RPQNMLTJJIGGFAB27DA,155.35,18.04,0.0,有,
南區,房地(土地+建物),臺中市南區忠明南路１２１３號１０樓之１,13.74,都市：其他:第三種住宅區。,,,1101011,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821220,131.35,2,2,2,有,有,7300000,55577,,0.0,0,,RPSNMLTJJIGGFAB47DA,79.46,11.46,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區建國南路二段１５０巷９號,14.34,都市：其他:第二種住宅區,,,1100924,土地1建物1車位1,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0870117,137.57,1,2,2,有,有,8900000,64694,坡道平面,0.0,0,,RPQRMLSJJIGGFAB57DA,88.7,11.72,0.0,無,0005
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段５０６號六樓之１１,9.01,都市：其他:第三種商業區,,,1100804,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040423,141.31,2,2,2,有,有,13300000,94119,坡道平面,21.53,0,,RPXQMLNKQHGGFBB48DA,71.49,10.1,0.0,有,0006
北區,房地(土地+建物),臺中市北區北平二街１６號,102.0,都市：其他:第二種住宅區,,,1100923,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0741127,253.04,6,1,4,有,無,20800000,82200,,0.0,0,頂樓加蓋；,RPTNMLRLRHGGFBB38DA,219.57,33.47,0.0,無,
北區,房地(土地+建物),臺中市北區中清路一段６３６號十一樓之３,8.58,都市：其他:第二種住宅區,,,1100913,土地1建物1車位0,十一層，十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,104.31,2,2,2,有,有,6320000,60589,,0.0,0,,RPQQMLSLRHGGFBB48DA,64.62,9.36,0.0,有,0007
北屯區,土地,北屯段554-228地號,5.75,,,,1090703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,45217,,0.0,0,本案件係道路用地買賣,RPVNMLOJIIGGFBB27DA,0.0,0.0,0.0,無,0008
北屯區,房地(土地+建物),臺中市北屯區松山街７３號四樓之１,23.01,都市：其他:第二種住宅區,,,1100926,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810908,174.59,3,2,2,有,有,8680000,49716,,0.0,0,,RPPTMLOJIIGGFBB27DA,127.86,18.14,0.0,有,0009
北區,房地(土地+建物)+車位,臺中市北區太原路二段１９０號５樓之３,14.4,都市：其他:第一種商業區,,,1101004,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0930903,134.66,2,2,2,有,有,10450000,81757,坡道平面,21.52,1200000,夾層；,RPQTMLOJIIGGFBB37DA,72.45,10.97,0.0,有,
北屯區,房地(土地+建物),臺中市北屯區瀋陽路二段１７５號十四樓之１０,8.78,都市：其他:第二種住宅區,,,1100917,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961231,72.08,1,1,1,有,有,6250000,86709,,0.0,0,,RPOVMLRJIIGGFBB67DA,47.83,1.16,0.0,有,
