鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３０５號二十六樓,12.31,都市：其他:特定第五種住宅區,,,1100830,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,166.09,3,2,2,有,有,17580000,105846,坡道平面,20.19,0,,RPSPMLRKRHGGFAE58DA,79.52,14.68,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３０９號六樓,18.92,都市：其他:特定第五種住宅區,,,1100903,土地1建物1車位2,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,268.8,4,2,2,有,有,26690000,99293,坡道平面,44.38,0,,RPVPMLRKRHGGFAE88DA,125.96,18.81,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３０９號二十三樓,18.92,都市：其他:特定第五種住宅區,,,1100908,土地1建物1車位1,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,246.61,4,2,2,有,有,25490000,103362,坡道平面,22.19,0,,RPWPMLRKRHGGFAE98DA,125.96,18.81,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３０９號二十九樓,18.92,都市：其他:特定第五種住宅區,,,1100909,土地1建物1車位2,二十九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,268.8,4,2,2,有,有,30750000,114397,坡道平面,44.38,0,,RPQQMLRKRHGGFAE48DA,125.96,18.81,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３０５號十樓,12.31,都市：其他:特定第五種住宅區,,,1100916,土地1建物1車位1,十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,168.07999999999998,3,2,2,有,有,14700000,87458,坡道平面,22.19,0,,RPTQMLRKRHGGFAE78DA,79.52,14.68,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３１３號八樓,12.09,都市：其他:特定第五種住宅區,,,1100908,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,165.55,3,2,2,有,有,14900000,90003,坡道平面,22.19,0,,RPQRMLRKRHGGFAE58DA,84.04,8.51,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３１１號八樓,12.13,都市：其他:特定第五種住宅區,,,1100908,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,166.05,3,2,2,有,有,14950000,90033,坡道平面,22.19,0,,RPVNMLMLRHGGFAE28DA,82.55,10.28,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３１１號二十三樓,12.13,都市：其他:特定第五種住宅區,,,1100830,土地1建物1車位1,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,166.05,3,2,2,有,有,16580000,99849,坡道平面,22.19,0,,RPROMLMLRHGGFAE97DA,82.55,10.28,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３０９號二十八樓,18.92,都市：其他:特定第五種住宅區,,,1100827,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,264.8,4,2,2,有,有,27430000,103588,坡道平面,40.38,0,,RPQQMLOKRHGGFAE18DA,125.96,18.81,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３１５號二樓,18.05,都市：其他:特定第五種住宅區,,,1100904,土地1建物1車位1,二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100430,234.16,4,2,2,有,有,23960000,102323,坡道平面,20.19,0,,RPUPMLOLRHGGFAE58DA,120.02,18.07,0.0,有,
