鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街１８９號十五樓,13.95,都市：其他:第二種住宅區,,,1100828,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100127,119.03,2,2,1,有,有,14000000,153631,坡道平面,36.69,1350000,含裝潢費；,RPROMLKMQHGGFAF87DA,47.77,6.53,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５９６號二樓,16.24,都市：其他:商業區,,,1100831,土地1建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1100421,143.87,2,2,1,有,有,16800000,116772,坡道平面,29.87,0,,RPSPMLLMQHGGFAF18DA,63.29,10.66,0.0,有,
板橋區,房地(土地+建物),新北市板橋區民族路２４８號三樓,8.73,都市：其他:商業區,,,1100921,土地1建物1車位0,三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100427,104.14,3,1,1,有,有,17320000,166315,,0.0,0,,RPRPMLOLRHGGFAF38DA,60.33,8.45,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街１９１號十一樓,13.88,都市：其他:第二種住宅區,,,1100928,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100127,118.84,2,2,1,有,有,13750000,146074,坡道平面,36.69,1750000,含裝潢費；,RPRQMLLJIIGGFAF17DA,47.58,6.53,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區裕華街２９號三樓,30.71,都市：其他:乙種工業區,,,1100912,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,159.82999999999998,0,0,0,無,有,16580000,117819,坡道平面,33.11,1650000,,RPSPMLNKIIGGFAF47DA,73.54,12.09,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區裕華街２９號十二樓,30.71,都市：其他:乙種工業區,,,1100930,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,163.54000000000002,0,0,0,無,有,17480000,123591,坡道平面,36.67,1800000,,RPQSMLPKIIGGFAF77DA,73.54,12.24,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區承天路９２之６號二樓之一,33.68,都市：其他:風景區,,,1101007,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0871130,85.27,1,1,1,有,有,4380000,51366,坡道平面,44.98,0,陽台外推；其他增建；,RPPNMLQKIIGGFAF27DA,26.92,2.7,0.0,無,0001
土城區,房地(土地+建物)+車位,新北市土城區中央路一段２９２巷９號七樓,29.77,都市：其他:第一種住宅區,,,1100925,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971001,136.37,3,2,2,有,有,16850000,123561,其他,15.36,0,,RPUPMLLLIIGGFAF57DA,73.02,12.56,0.0,有,
板橋區,房地(土地+建物),新北市板橋區中正路３２５巷３弄２７號四樓,24.5,都市：其他:住宅區,,,1101002,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0651228,81.78,3,2,1,有,無,9800000,119834,,0.0,0,頂樓加蓋；,RPRUMLPLIIGGFAF18DA,81.78,0.0,0.0,無,
土城區,房地(土地+建物)+車位,新北市土城區裕華街２９號四樓,30.71,都市：其他:乙種工業區,,,1101009,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,159.98000000000002,0,0,0,無,有,16700000,117443,坡道平面,33.11,1800000,,RPVNMLQLIIGGFAF97DA,73.54,12.24,0.0,有,
板橋區,土地,僑中段582-3地號,151.9,都市：其他:住宅區(再),,,1100202,土地31建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8206402,54025,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPOSMLQLIIGGFAF77DA,0.0,0.0,0.0,無,0002
土城區,房地(土地+建物)+車位,新北市土城區裕華街３１號十八樓,20.02,都市：其他:乙種工業區,,,1100819,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,113.59,0,0,0,無,有,11800000,124876,坡道平面,33.11,1750000,,RPRNMLRLIIGGFAF67DA,47.93,6.06,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路１８０號四樓,8.81,都市：其他:商業區,,,1101011,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071227,137.15,3,2,2,有,有,20330000,157551,坡道平面,23.98,2500000,其他增建；,RPWPMLSLIIGGFAF48DA,62.67,13.72,0.0,有,0003
板橋區,房地(土地+建物),新北市板橋區民生路三段３２３號三十二樓之１,1.26,都市：其他:住宅區,,,1100928,土地2建物1車位0,三十二層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,37.89,1,1,1,有,有,6380000,168382,,0.0,0,陽台外推；夾層；其他增建；,RPQQMLTLIIGGFAF08DA,20.92,4.85,0.0,有,0004
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路１９６巷１０號十五樓,21.19,都市：其他:住宅區,,,1100807,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100324,180.65,3,2,2,有,無,30100000,189685,坡道平面,36.2,2700000,本案尚未成立管理委員會。本件買賣含有毗鄰有開門之露台永久約定專用權。含裝潢費；預售屋、或土地及建物分件登記案件；,RPRSMLLJJIGGFAF47DA,80.31,15.19,0.0,有,
板橋區,車位,新北市板橋區光環路二段５０號,0.05,都市：其他:住宅區,,,1101029,土地1建物1車位1,一層,二十層,其他,一般事務所,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,1900000,,坡道平面,27.27,1900000,僅車位交易；,RPQNMLMJJIGGFAF96DA,0.0,0.0,0.0,有,0005
板橋區,房地(土地+建物),新北市板橋區富山街９６號四樓,32.75,都市：其他:住宅區,,,1100928,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650324,78.0,3,1,1,有,無,9500000,121795,,0.0,0,,RPPSMLNJJIGGFAF47DA,78.0,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區國慶路１４９巷３弄６號三樓,21.09,都市：其他:住宅區,,,1100825,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700409,89.16,3,1,1,有,無,8980000,100718,,0.0,0,,RPOPMLOJJIGGFAF17DA,81.69,7.47,0.0,無,
板橋區,房地(土地+建物),新北市板橋區中正路３６０巷１６號四樓,24.0,都市：其他:住宅區,,,1100928,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650117,63.05,2,1,1,有,無,5700000,90404,,0.0,0,,RPXPMLPJJIGGFAF18DA,63.05,0.0,0.0,無,
板橋區,房地(土地+建物)+車位,新北市板橋區漢生西路１７３號十三樓,12.54,都市：其他:住宅區,,,1100915,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,154.65,3,2,2,有,有,23770000,182390,坡道平面,38.58,2600000,,RPUOMLSJJIGGFAF08DA,66.73,8.75,0.0,有,
板橋區,房地(土地+建物),新北市板橋區大智街７１巷２２弄３１號三樓,23.25,都市：其他:住宅區,,,1101015,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0640606,70.3,2,2,1,有,無,7620000,108393,,0.0,0,,RPPSMLSJJIGGFAF97DA,53.09,17.21,0.0,無,
板橋區,房地(土地+建物),新北市板橋區大明街１８之４號,11.54,都市：其他:住宅區,,,1101018,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860808,67.16,2,1,1,有,有,11050000,164532,,0.0,0,,RPUSMLSJJIGGFAF48DA,50.16,8.18,0.0,有,0006
土城區,房地(土地+建物)+車位,新北市土城區裕華街２５號二樓,27.5,都市：其他:乙種工業區,,,1101013,土地1建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,148.1,0,0,0,無,有,15100000,119806,坡道平面,36.67,1750000,,RPRTMLSJJIGGFAF28DA,66.11,8.47,0.0,有,
土城區,土地,柑林段909地號,256.84,,特定專用區,甲種建築用地,1101021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19167200,74627,,0.0,0,未登記建物；,RPVTMLSJJIGGFAF68DA,0.0,0.0,0.0,無,0007
土城區,房地(土地+建物)+車位,新北市土城區學士路２４巷１５號三樓,33.98,都市：其他:第二種住宅區,,,1101002,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960411,177.7,3,2,2,有,有,13000000,73157,坡道平面,39.59,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLTJJIGGFAF38DA,93.29,10.82,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５８６號十樓,16.08,都市：其他:商業區,,,1090930,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100421,143.0,3,2,2,有,有,18400000,144082,坡道平面,29.87,2100000,,RPOQMLTJJIGGFAF77DA,63.69,9.62,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區永豐路１５１巷２３號二樓,17.49,都市：其他:第一種住宅區,,,1101025,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841104,121.21000000000001,2,1,2,有,有,9870000,81429,坡道平面,0.0,0,,RPPQMLTJJIGGFAF87DA,69.38,7.98,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區中央路四段２６１號十三樓,26.4,都市：其他:住宅區,,,1101013,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040908,160.74,3,2,2,有,有,16800000,126624,坡道平面,40.7,1600000,,RPUSMLTJJIGGFAF58DA,79.03,5.01,0.0,有,0008
板橋區,房地(土地+建物),新北市板橋區長安街１３８巷３弄３６號四樓,11.02,都市：其他:住宅區,,,1101026,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0640403,26.4,3,1,1,有,無,1600000,60606,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVTMLTJJIGGFAF78DA,26.4,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區大觀路二段３７巷２６４號三樓,24.77,都市：其他:住宅區(再),,,1101019,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641202,85.28,3,2,1,有,無,7800000,91463,,0.0,0,陽台外推；,RPQPMLKKJIGGFAF07DA,75.53,9.75,0.0,無,
五股區,房地(土地+建物)+車位,新北市五股區六合街１號六樓,78.08,都市：其他:住宅區,,,1101005,土地3建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970814,210.65,4,2,2,有,有,12000000,56967,坡道平面,0.0,0,,RPSPMLQJIIGGFBF77DA,117.05,10.37,0.0,有,
