鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
桃園區,房地(土地+建物),桃園市桃園區縣府路２９２號七樓之二,30.87,都市：其他:住宅區,,,1100925,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790507,136.39,3,2,2,有,有,9080000,66574,,0.0,0,,RPSNMLPLRHGGFAH58DA,101.77,17.86,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區正康三街２２６號二樓之２,16.41,都市：其他:住宅區,,,1100926,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811228,99.56,2,2,1,有,無,4850000,48714,,0.0,0,陽台外推；其他增建；,RPPNMLQLRHGGFAH38DA,76.02,8.29,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路７４１之１０號八樓,19.8,都市：其他:住宅區,,,1101017,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030121,133.75,2,1,1,有,有,10880000,81346,坡道平面,33.84,0,,RPWOMLTKIIGGFAH58DA,57.86,8.8,0.0,有,0001
桃園區,房地(土地+建物),桃園市桃園區水汴一路１２５號五樓之５,8.47,都市：其他:商業區,,,1101011,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,59.75,1,0,1,有,有,5400000,90377,,0.0,0,,RPOQMLTKIIGGFAH97DA,35.6,4.45,0.0,有,0002
桃園區,房地(土地+建物)+車位,桃園市桃園區春日路１６２９巷４３號,110.25,都市：其他:工業區,,,1100731,土地1建物1車位1,全,五層,透天厝,辦公用,鋼筋混凝土造,0950626,331.63,5,2,4,有,有,17000000,51263,坡道平面,0.0,0,,RPPRMLLJJIGGFAH37DA,291.18,19.23,0.0,有,
桃園區,土地,八角段637地號,640.92,,特定農業區,農牧用地,1100923,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13377600,20872,,0.0,0,,RPXRMLMJJIGGFAH28DA,0.0,0.0,0.0,無,
桃園區,土地,八角段645地號,596.0,,特定農業區,農牧用地,1100923,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10637000,17847,,0.0,0,,RPPSMLMJJIGGFAH57DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區永安路１２１６巷６號三樓之７,10.04,,鄉村區,乙種建築用地,1100908,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000210,38.599999999999994,1,1,1,有,有,2720000,70466,,0.0,0,,RPRPMLNJJIGGFAH57DA,22.31,1.02,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路１２１６巷６號三樓之８,10.28,,鄉村區,乙種建築用地,1100908,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000210,84.97,1,1,1,有,有,4060000,71503,坡道平面,46.37,1300000,,RPUPMLNJJIGGFAH87DA,22.31,1.02,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路１２１６巷６號三樓之９,10.28,,鄉村區,乙種建築用地,1100908,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000210,84.97,1,1,1,有,有,4060000,71503,坡道平面,46.37,1300000,,RPWPMLNJJIGGFAH08DA,22.31,1.02,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區永安路１２１６巷６號三樓之１０,9.92,,鄉村區,乙種建築用地,1100908,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000210,38.260000000000005,1,1,1,有,有,2720000,71093,,0.0,0,,RPXPMLNJJIGGFAH18DA,19.05,4.07,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區永安路１２１６巷６號三樓之１１,10.41,,鄉村區,乙種建築用地,1100908,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000210,39.81,1,1,1,有,有,2720000,68325,,0.0,0,,RPOQMLNJJIGGFAH37DA,19.71,4.34,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路１２１６巷６號十樓之１,21.66,,鄉村區,乙種建築用地,1101007,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000210,128.45,1,1,1,有,有,6880000,67982,坡道平面,46.37,1300000,,RPSQMLNJJIGGFAH77DA,41.84,7.77,0.0,有,
